state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
VIC,E,1,EL-MASRI,Mohamed,Australia's Voice,Australia's Voice
VIC,E,2,KAUR,Harsimran,Australia's Voice,Australia's Voice
VIC,E,3,EL ACHKAR,Rasheed,Australia's Voice,Australia's Voice
VIC,F,1,CORDNER HUNT,Kammy,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
VIC,F,2,GNIESLAW,Simon Mark Simcha,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
VIC,G,1,VONGVIXAY,Keo,,
VIC,G,2,HERNAN,Taylor,,
VIC,H,1,UNKLES,James William,Trumpet of Patriots,Trumpet of Patriots
VIC,H,2,JEAN,Ron,Trumpet of Patriots,Trumpet of Patriots
VIC,H,3,McKAY,Roger Ivan,Trumpet of Patriots,Trumpet of Patriots
VIC,I,1,CICCONE,Raffaele,Australian Labor Party,Australian Labor Party
VIC,I,2,WALSH,Jess,Australian Labor Party,Australian Labor Party
VIC,I,3,ANANDA-RAJAH,Michelle,Australian Labor Party,Australian Labor Party
VIC,I,4,PSAILA,Lynn,Australian Labor Party,Australian Labor Party
VIC,I,5,KELLEY,Stephenie,Australian Labor Party,Australian Labor Party
VIC,I,6,BAKER,David,Australian Labor Party,Australian Labor Party
VIC,J,1,FINN,Bernie,Family First,Family First
VIC,J,2,FOREMAN,Jane,Family First,Family First
VIC,K,1,PICKERING,Warren,Pauline Hanson's One Nation,Pauline Hanson's One Nation
VIC,K,2,BRADBURY,Christopher,Pauline Hanson's One Nation,Pauline Hanson's One Nation
VIC,L,1,McKENZIE,Heath,Australian Democrats,Australian Democrats
VIC,L,2,NOBLE,Carly,Australian Democrats,Australian Democrats
VIC,M,1,VAN DEN LAMB,Jordan,Victorian Socialists,Victorian Socialists
VIC,M,2,PRICE,Steph,Victorian Socialists,Victorian Socialists
VIC,N,1,ACKERLY,Celeste,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
VIC,N,2,JESSUP,Bert,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
VIC,O,1,NEIL,Chris,Gerard Rennick People First - Heart,Gerard Rennick People First
VIC,O,2,CLONARIDIS,Nick,Gerard Rennick People First - Heart,HEART Party
VIC,P,1,DITTLOFF,Jordan,Libertarian,Libertarian
VIC,P,2,FORD,Matthew,Libertarian,Libertarian
VIC,P,3,MATULEC,Stephen,Libertarian,Libertarian
VIC,Q,1,HODGINS-MAY,Steph,The Greens,The Greens
VIC,Q,2,ARI,Navera,The Greens,The Greens
